N,P,K,temperature,humidity,ph,rainfall,label
22,55.0,19,28.56149805,83.63802195,6.689825155,41.013132,mungbean
119,52.0,55,23.65724079,84.47601498,6.486068274,88.54479121,banana
0,36.0,25,34.13072188,51.25786185,5.101206389,96.38808001,mango
5,19.0,26,35.99009679,52.22780489,5.978634285,95.3713484,mango
3,48.0,19,31.2123945,40.92604945,8.532078732999999,53.78769958,mothbeans
58,51.0,48,42.13473976,91.70445386,6.757470637000001,197.402901,papaya
58,53.0,51,24.48620746,92.98254537,6.761953186,183.49095,papaya
35,41.0,20,28.70562673,86.59200689,6.705008503999999,59.87065439,mungbean
36,55.0,18,28.36363858,87.59810657,6.3206620120000006,57.99524359,mungbean
91,79.0,46,23.85724032,82.22572988,7.382762603,195.0948311,banana
34,51.0,17,18.81097271,21.27833035,5.889614577000001,125.084915,mungbean
105,55.0,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
91,94.0,48,29.36792366,76.24900101,6.149934034,92.82840911,banana
28,130.0,196,22.77076388,94.67695747,6.631005298,81.49543437,apple
39,57.0,18,35.09357419,30.98685456,5.004074623999999,116.9106908,pigeonpeas
98,8.0,51,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon
23,37.0,23,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
27,23.0,30,35.3915464,52.48823147,5.061081874,91.22881052,mango
12,18.0,30,29.70931288,52.4873213,6.37466756,209.84539930000005,mango
1,38.0,26,28.33333307,51.39586505,6.4341977560000005,91.67241761,mango
103,16.0,49,24.06731461,81.64075303,6.915717008,51.75212401,muskmelon
1,48.0,21,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
26,50.0,19,27.06179658,52.3003173,7.388007482999999,60.74583498,mothbeans
32,40.0,24,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
26,58.0,21,29.87854588,65.73085206,6.950300686,44.95654782,lentil
58,56.0,49,42.39413392,90.79028064,6.576261427,88.46607497,papaya
113,28.0,53,28.87726019,92.48839665,6.170520517999999,24.44267592,muskmelon
22,53.0,22,24.30935081,54.32938343,6.030447288,58.99536268,mothbeans
48,57.0,48,29.02328049,90.20396783,6.617703177999999,126.8069869,papaya
0,38.0,32,23.33375853,64.50515776,7.240988401,47.01510708,mango
60,89.0,46,19.12065218,18.43475844,6.620900869,85.52950164,banana
1,142.0,203,31.3115978,82.56407013,5.972850837999999,65.01095312,grapes
13,75.0,18,30.55992394,35.29006485,6.979540061,178.8998611,pigeonpeas
31,36.0,27,33.93679869,52.72170281,6.460542749,97.4611918,mango
105,18.0,31,23.52648086,68.44030686,6.743417121,171.8839938,coffee
44,48.0,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram
16,46.0,22,26.82489244,80.76838922,7.093328631,153.91998069999997,mungbean
39,132.0,201,35.83089092,83.32560104,5.778594403,73.67984885,grapes
106,21.0,48,28.89578588,94.78993038,6.286515359,23.0362503,muskmelon
27,78.0,24,27.4818649,62.04814951,6.861640036,37.81123974,lentil
5,23.0,44,21.02432943,93.0569505,5.578095745,104.7847006,pomegranate
72,78.0,45,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
21,18.0,15,23.98289638,91.5473145,7.455991072000001,118.4901697,orange
26,69.0,18,25.08966129,68.17543102,6.559681838,41.45486619,lentil
16,76.0,18,18.41645629,34.80541039,4.684079249,163.27474730000003,pigeonpeas
73,46.0,42,21.84106875,91.2886384,6.9462098810000015,202.3838319,rice
28,27.0,30,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
2,70.0,24,23.89271875,61.78779413,6.658605362,52.55730112,lentil
52,65.0,19,32.81705216,66.15665137,6.814301033,68.83924882,lentil
72,58.0,22,25.31468463,76.11021525,5.907930899,72.82902109,cotton
52,56.0,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
74,39.0,21,22.6265115,65.77472881,6.78073637,88.17251033,maize
24,56.0,18,25.17885316,68.93307305,6.54803469,35.03484812,lentil
25,41.0,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
33,74.0,17,20.04611791,48.93905624,4.567446499,122.4564203,pigeonpeas
37,38.0,21,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean
40,16.0,27,27.75518664,52.34605806,4.772385986000001,94.11213345,mango
119,30.0,49,25.35794749,80.45846265,6.903020221,47.72078245,muskmelon
92,5.0,47,26.27520631,86.63249555,6.956508826,54.38748495,muskmelon
116,6.0,53,25.37601283,80.99313508,6.65398725,57.23028471,muskmelon
119,25.0,46,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon
6,73.0,18,18.13027797,62.45851612,6.078724107,50.6128521,pigeonpeas
1,66.0,21,24.84906168,22.89464642,5.608165195,62.21292186,pigeonpeas
20,74.0,15,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
4,80.0,19,20.5591255,60.54880693,6.655918077999999,191.0895109,pigeonpeas
30,57.0,24,22.98666928,59.33608,5.916779289,143.85849380000005,mothbeans
67,48.0,17,24.92162194,66.78627406,5.750254943,109.21622279,maize
36,36.0,25,26.4123765,49.66474269,7.437078236,31.87416982,mothbeans
21,37.0,17,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
117,73.0,53,25.56202173,77.38229006,6.119216009,93.10247183,banana
117,25.0,50,29.11858526,92.12543021,6.413927319,24.52020164,muskmelon
35,57.0,24,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans
28,69.0,20,29.77013109,66.29327012,6.547361617999999,35.69674138,blackgram
15,25.0,32,33.80398664,46.12866113,4.507523751,90.82549241,mango
21,56.0,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans
6,66.0,21,26.01630259,49.94704718,5.906596905,160.33374469999995,lentil
31,26.0,38,24.96273236,92.40501423,6.4973666770000005,109.4169192,pomegranate
37,18.0,14,16.39624284,92.18151927,6.625538653,102.944161,orange
23,68.0,16,24.87425505,64.00213929,7.198076286,48.28137482,blackgram
27,21.0,39,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
92,18.0,50,25.10474753,87.52676159999999,6.5877912620000005,59.26519444,muskmelon
21,62.0,25,33.49077065,62.73317204,6.8473828910000005,65.45328463,blackgram
19,12.0,8,12.59093977,91.81668769,6.206053072,119.39167179999998,orange
74,36.0,24,18.28362235,66.65952796,6.829199275,80.97573281,maize
27,35.0,23,31.46417866,48.17631461,7.064973419,165.40535400000005,pigeonpeas
80,18.0,55,28.05380704,91.81758779,6.706053225,20.76582087,muskmelon
32,60.0,22,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
93,7.0,48,21.25433607,92.65058936,7.159520979,106.2784673,muskmelon
119,5.0,55,26.03867719,84.6378378,6.031424482,44.3993381,watermelon
3,19.0,31,29.98080499,49.48613279,6.8256647820000005,91.8732240268,mango
