N,P,K,temperature,humidity,ph,rainfall,label
116,71,46,27.57278064,82.0638878,6.149410611,233.1321372,banana
117,86,50,28.6956201,82.54195839,5.915568968,98.21747528,banana
114,5,47,25.53676123,81.13668716,6.541150335,21.44532907,cotton
12,37,27,31.09779147,47.41196659,6.790736339,48.48319335,mango
78,48,21,23.08974909,63.10459626,6.581319775,44.2068997,maize
81,81,45,19.32666088,68.03449300000001,5.505393832999999,96.45042585,maize
91,75,41,27.48612983,76.11239849,6.434610995,184.7674863,banana
105,88,48,25.78749808,84.51194224,6.251420275,20.39020503,banana
30,28,30,31.86641378,52.19331595,6.536676653,168.8383605,mango
104,47,16,23.9656349,76.97696717,6.498052108,70.65644296,cotton
92,20,54,29.34033587,90.01506395,6.541150335,21.44532907,muskmelon
64,35,35,23.02038334,61.89472002,6.78415271,57.79863368,maize
60,36,43,23.43121862,83.06310136,5.108681786,284.4364567,rice
5,58,15,31.89356292,49.02532477,6.89077995,44.75215854,mango
73,48,17,24.60532218,73.58868502,7.827877817999999,66.26555904,maize
100,80,23,27.53911354,77.25629897,6.439071996,62.50351892,banana
39,21,35,13.20844373,94.02769434,5.764869363,109.2768851,orange
6,37,22,28.08657178,80.35005927,7.156563094,59.87232071,mungbean
20,28,34,26.37978453,91.49882979,5.72742254,109.7513927,coconut
114,94,47,26.33544853,76.8532006,6.387431382999999,90.81250457,banana
106,21,47,25.627355,57.04151119,6.14410903,27.95602304,coffee
5,77,15,31.08564994,66.68832981,6.618263801,102.4852929,pigeonpeas
93,94,50,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
25,132,202,22.31944084,90.85174383,6.002927293,22.21807088,apple
12,34,29,33.36140093,45.02236377,6.13526938,98.81596545,mango
81,41,38,26.52872817,80.12267476,6.344751947000001,199.83629130000003,rice
111,5,50,27.59350075,91.79742953,6.399891457000001,24.84271123,muskmelon
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,mothbeans
37,67,25,36.20970524,31.94550613,7.423530351,61.16350463,grapes
24,73,85,19.63736208,32.31528909,6.545888558,80.6405403,pigeonpeas
97,63,17,26.47522633,78.51833782,6.234330356,71.07562236,banana
89,85,50,26.671983500000003,76.48541655,6.079178787999999,73.69529586,banana
18,122,202,26.13958446,96.38580769,5.617227184,107.1843273,coconut
85,35,25,26.24928198,54.28617819,6.178056304,65.88951188,coffee
111,39,55,22.60361557,80.35090459999998,6.768001309,184.4633281,cotton
6,124,196,22.98208095,93.84505029,6.400321212000001,120.6310784,apple
26,63,17,29.87854588,65.73085206,5.624731337999999,112.8610793,lentil
118,88,55,25.44926208,79.49221962,6.201911642000001,100.6619171,banana
40,64,55,32.50037548,93.47888842,5.740764682000001,108.8616474,papaya
101,92,39,28.22776705,80.64303840000002,6.880204617,154.6608736,banana
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,pigeonpeas
26,27,52,29.98835437,49.60384796,6.648687273999999,111.0196744,mothbeans
40,26,41,24.53610067,91.90997228,6.8973684770000006,108.6793978,orange
9,77,17,21.65845777,63.58337146,6.280725549,38.07659414,pomegranate
89,25,35,23.07895447,63.65861483,5.764812076,131.24514140000002,coffee
61,68,47,35.21462816,91.49725058,6.101241579,117.2878912,papaya
88,46,45,22.68319059,83.46358271,5.950647577000001,47.26052494,jute
67,58,39,25.2827223,80.54372813,5.453592032,193.1007598,rice
37,56,17,35.632283,19.60379304,6.872392212,200.9133156,mango
111,5,47,25.46743689,69.35161206,6.2744528110000015,21.17924769,coffee
